::1 - - [08/Aug/2023:08:32:08 +0000] "POST /user HTTP/1.1" 500 48 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:08:33:19 +0000] "POST /user HTTP/1.1" 200 62 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:08:33:31 +0000] "POST /user HTTP/1.1" 200 30 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:08:33:35 +0000] "POST /user HTTP/1.1" 200 30 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:08:33:38 +0000] "GET /user HTTP/1.1" 200 406 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:08:33:46 +0000] "POST /user HTTP/1.1" 200 30 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:08:33:49 +0000] "GET /user HTTP/1.1" 200 404 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:09:02:14 +0000] "GET /divisi HTTP/1.1" 401 46 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:09:02:24 +0000] "GET /user HTTP/1.1" 200 404 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:09:02:30 +0000] "GET /divisi HTTP/1.1" 500 161 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:09:02:45 +0000] "GET /divisi HTTP/1.1" 200 42 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:09:03:43 +0000] "POST /divisi HTTP/1.1" 200 68 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:09:03:55 +0000] "GET /divisi HTTP/1.1" 200 142 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:09:04:42 +0000] "POST /divisi HTTP/1.1" 500 406 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:09:05:35 +0000] "POST /divisi HTTP/1.1" 200 30 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:09:05:39 +0000] "GET /divisi HTTP/1.1" 200 142 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:09:05:40 +0000] "GET /divisi HTTP/1.1" 200 142 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:09:05:43 +0000] "POST /divisi HTTP/1.1" 200 30 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:09:05:58 +0000] "POST /divisi HTTP/1.1" 200 30 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:09:06:02 +0000] "GET /divisi HTTP/1.1" 200 143 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:09:06:07 +0000] "POST /divisi HTTP/1.1" 200 30 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:09:06:09 +0000] "GET /divisi HTTP/1.1" 200 144 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:09:06:29 +0000] "DELETE /divisi/4 HTTP/1.1" 200 30 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:09:07:08 +0000] "GET /divisi HTTP/1.1" 200 144 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:09:07:19 +0000] "POST /divisi HTTP/1.1" 200 67 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:09:07:23 +0000] "GET /divisi HTTP/1.1" 200 258 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:09:08:30 +0000] "POST /divisi HTTP/1.1" 500 59 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:09:08:36 +0000] "POST /divisi HTTP/1.1" 200 68 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:09:09:37 +0000] "GET /divisi HTTP/1.1" 200 373 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:09:09:55 +0000] "POST /divisi HTTP/1.1" 200 30 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:09:09:57 +0000] "GET /divisi HTTP/1.1" 200 374 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:09:21:03 +0000] "GET /user HTTP/1.1" 200 404 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:09:21:38 +0000] "POST /user HTTP/1.1" 200 30 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:09:21:41 +0000] "GET /user HTTP/1.1" 200 421 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:09:21:54 +0000] "POST /user HTTP/1.1" 200 30 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:09:21:56 +0000] "GET /user HTTP/1.1" 200 419 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:12:49:13 +0000] "GET /projek HTTP/1.1" 200 42 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:12:49:45 +0000] "GET /projek HTTP/1.1" 200 42 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:12:50:14 +0000] "GET /divisi HTTP/1.1" 200 374 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:12:50:23 +0000] "POST /projek HTTP/1.1" 200 98 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:12:50:27 +0000] "GET /projek HTTP/1.1" 200 98 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:12:55:18 +0000] "GET /projek HTTP/1.1" 200 138 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:12:55:55 +0000] "POST /projek HTTP/1.1" 500 59 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:12:56:01 +0000] "POST /projek HTTP/1.1" 200 82 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:12:56:06 +0000] "GET /projek HTTP/1.1" 200 233 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:12:56:17 +0000] "DELETE /divisi/1 HTTP/1.1" 200 30 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:12:56:22 +0000] "GET /projek HTTP/1.1" 200 42 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:12:56:34 +0000] "POST /projek HTTP/1.1" 500 59 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:12:56:37 +0000] "GET /projek HTTP/1.1" 200 42 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:12:56:42 +0000] "GET /divisi HTTP/1.1" 200 257 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:12:56:52 +0000] "POST /projek HTTP/1.1" 500 392 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:12:56:58 +0000] "POST /projek HTTP/1.1" 200 82 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:12:57:04 +0000] "GET /divisi HTTP/1.1" 200 257 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:12:57:07 +0000] "GET /projek HTTP/1.1" 200 121 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:12:58:14 +0000] "GET /projek HTTP/1.1" 200 121 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:12:58:24 +0000] "POST /projek HTTP/1.1" 200 80 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:12:58:27 +0000] "GET /projek HTTP/1.1" 200 215 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:12:59:08 +0000] "GET /projek HTTP/1.1" 200 215 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:12:59:31 +0000] "POST /projek HTTP/1.1" 200 48 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:12:59:40 +0000] "POST /projek HTTP/1.1" 200 30 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:12:59:44 +0000] "GET /projek HTTP/1.1" 200 215 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:13:01:09 +0000] "POST /projek HTTP/1.1" 200 30 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:13:01:11 +0000] "GET /projek HTTP/1.1" 200 215 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:13:01:58 +0000] "GET /projek HTTP/1.1" 200 215 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:13:02:03 +0000] "DELETE /projek/5 HTTP/1.1" 500 31 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:13:02:24 +0000] "DELETE /projek/5 HTTP/1.1" 200 30 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:13:02:26 +0000] "GET /projek HTTP/1.1" 200 121 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:13:15:50 +0000] "GET /karyawan HTTP/1.1" 200 42 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:13:18:28 +0000] "GET /projek HTTP/1.1" 200 121 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:13:19:38 +0000] "POST /karyawan HTTP/1.1" 200 48 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:13:22:27 +0000] "POST /karyawan HTTP/1.1" 500 671 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:13:22:41 +0000] "POST /karyawan HTTP/1.1" 200 450 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:13:22:46 +0000] "GET /karyawan HTTP/1.1" 200 475 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:13:23:24 +0000] "POST /karyawan HTTP/1.1" 500 199 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:13:27:12 +0000] "POST /karyawan HTTP/1.1" 500 199 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:13:28:09 +0000] "POST /karyawan HTTP/1.1" 500 199 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:13:29:31 +0000] "POST /karyawan HTTP/1.1" 500 199 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:13:29:53 +0000] "POST /karyawan HTTP/1.1" 200 30 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:13:29:59 +0000] "GET /karyawan HTTP/1.1" 200 478 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:13:30:09 +0000] "POST /karyawan HTTP/1.1" 200 30 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:13:30:11 +0000] "GET /karyawan HTTP/1.1" 200 481 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:13:34:09 +0000] "POST /karyawan HTTP/1.1" 500 58 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:13:34:16 +0000] "POST /karyawan HTTP/1.1" 200 472 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:13:34:19 +0000] "GET /karyawan HTTP/1.1" 200 928 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:13:34:46 +0000] "DELETE /karyawan/2 HTTP/1.1" 200 30 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:13:34:49 +0000] "GET /karyawan HTTP/1.1" 200 481 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:13:36:26 +0000] "GET /projek/1 HTTP/1.1" 200 42 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:13:36:26 +0000] "GET /projek/1 HTTP/1.1" 200 42 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:13:36:29 +0000] "GET /projek/2 HTTP/1.1" 200 42 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:13:36:31 +0000] "GET /projek/3 HTTP/1.1" 200 42 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:13:36:34 +0000] "GET /projek HTTP/1.1" 200 121 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:13:36:38 +0000] "GET /projek/4 HTTP/1.1" 200 82 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:13:37:56 +0000] "GET /projek/4 HTTP/1.1" 500 446 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:13:38:01 +0000] "GET /projek/4 HTTP/1.1" 200 155 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:13:38:32 +0000] "GET /projek/4 HTTP/1.1" 200 121 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:13:38:45 +0000] "GET /projek/4 HTTP/1.1" 200 155 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:13:39:17 +0000] "GET /divisi HTTP/1.1" 200 257 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:13:39:23 +0000] "GET /divisi/2 HTTP/1.1" 200 141 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:13:39:35 +0000] "GET /user HTTP/1.1" 200 419 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:13:39:49 +0000] "GET /user/1 HTTP/1.1" 200 15 "-" "PostmanRuntime/7.32.3"
